what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1443099754177
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1443099754177
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1443099754177
java.vm.specification.version,sysinfo,,,"1.0",1443099754177
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1443099754177
java.vm.version,sysinfo,,,"14.0-b16",1443099754177
started,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1443099754552
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443099777267
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443099780877
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443099781922
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443104232762
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443104233683
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443104241922
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443104247707
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443104249876
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443104256022
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443104412421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443104415479
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443104418099
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443104418209
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1443104418427
error,log,,,"The proxied handler for 'com.altera.sbtgui.project.commands.SystemConsoleHandler' could not be loaded",1443104418443
error,log,,,"The proxied handler for 'com.altera.sbtgui.project.commands.SystemConsoleHandler' could not be loaded",1443104418458
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1443104418489
stopped,bundle,com.altera.debug.cdi.gdb.plugin,10.1.0.153,"com.altera.debug.cdi.gdb.plugin",1443104418489
