what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU architecture type not set. ",1443106018224
error,log,,,"CPU master group not set.",1443106018224
error,log,,,"Expected base address of system ID component is undefined.",1443106018224
error,log,,,"SOPC design not set.",1443106018239
error,log,,,"CPU module not set.",1443106018239
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1443106018239
error,log,,,"CPU architecture type not set. ",1443106018255
error,log,,,"CPU master group not set.",1443106018255
error,log,,,"Expected base address of system ID component is undefined.",1443106018270
error,log,,,"SOPC design not set.",1443106019503
error,log,,,"CPU module not set.",1443106019518
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1443106019518
error,log,,,"CPU architecture type not set. ",1443106019534
error,log,,,"CPU master group not set.",1443106019534
error,log,,,"Expected base address of system ID component is undefined.",1443106019534
error,log,,,"SOPC design not set.",1443106019550
error,log,,,"CPU module not set.",1443106019550
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1443106019550
error,log,,,"CPU architecture type not set. ",1443106019565
error,log,,,"CPU master group not set.",1443106019565
error,log,,,"Connected system ID hash not found on target at expected base address.",1443106019565
error,log,,,"Connected system timestamp not found on target at expected base address.",1443106019581
error,log,,,"SOPC design not set.",1443106019581
error,log,,,"CPU module not set.",1443106019596
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1443106019596
